firstname,male,female
Aaliyah,false,true
Aaron,true,false
Abby,false,true
Abbygaelle,false,true
Abd,true,false
Abdallah,true,false
Abdel,true,false
Abdelkader,true,false
Abdelkarim,true,false
Abdellah,true,false
Abderrahman,true,false
Abderrahmane,true,false
Abdou,true,false
Abdoul,true,false
Abdoulaye,true,false
Abdoullah,true,false
Abdullah,true,false
Abel,true,false
Abigael,false,true
Abigaelle,false,true
Abigail,false,true
Abou,true,false
Aboubacar,true,false
Aboubakar,true,false
Abraham,true,false
Aby,false,true
Abygael,false,true
Abygaelle,false,true
Achille,true,false
Achraf,true,false
Ada,false,true
Adaline,false,true
Adam,true,false
Adama,true,true
Adame,true,false
Adan,true,false
Adel,true,false
Adela,false,true
Adelaide,false,true
Adele,false,true
Adelia,false,true
Adelie,false,true
Adelina,false,true
Adeline,false,true
Adem,true,false
Aden,true,false
Adil,true,false
Adja,false,true
Adnan,true,false
Adnane,true,false
Adonis,true,false
Adria,false,true
Adrian,true,false
Adriana,false,true
Adriano,true,false
Adriel,true,false
Adrien,true,false
Aedan,true,false
Aeden,true,false
Ael,true,true
Aela,false,true
Aelia,false,true
Aelya,false,true
Aelys,false,true
Agatha,false,true
Agathe,false,true
Aglae,false,true
Agnes,false,true
Ahlem,false,true
Ahmad,true,false
Ahmed,true,false
Ahmet,true,false
Aicha,false,true
Aida,false,true
Aidan,true,false
Aiden,true,false
Aime,true,false
Aimee,false,true
Aimie,false,true
Aimy,false,true
Aina,false,true
Ainhoa,false,true
Aisha,false,true
Aissa,true,true
Aissata,false,true
Aissatou,false,true
Akim,true,false
Akram,true,false
Aksel,true,false
Aksil,true,false
Alaa,false,true
Alaia,false,true
Alain,true,false
Alais,false,true
Alan,true,false
Alana,false,true
Alaric,true,false
Alassane,true,false
Alba,false,true
Alban,true,false
Albane,false,true
Albert,true,false
Albin,true,false
Alec,true,false
Alejandro,true,false
Alena,false,true
Alessandro,true,false
Alessia,false,true
Alessio,true,false
Alex,true,false
Alexa,false,true
Alexander,true,false
Alexandra,false,true
Alexandre,true,false
Alexandru,true,false
Alexane,false,true
Alexi,true,false
Alexia,false,true
Alexian,true,false
Alexiane,false,true
Alexie,false,true
Alexine,false,true
Alexis,true,false
Alexy,true,false
Aleyna,false,true
Alfred,true,false
Ali,true,false
Alia,false,true
Alice,false,true
Alicia,false,true
Alicya,false,true
Alienor,false,true
Alima,false,true
Alina,false,true
Aline,false,true
Aliou,true,false
Alison,false,true
Alissa,false,true
Alissia,false,true
Alisson,false,true
Alistair,true,false
Alix,true,true
Alixe,false,true
Aliya,false,true
Aliyah,false,true
Alize,false,true
Alizea,false,true
Alizee,false,true
Allan,true,false
Allya,false,true
Alma,false,true
Alois,true,false
Aloise,false,true
Alonzo,true,false
Aloys,true,false
Alperen,true,false
Alpha,true,false
Alphonse,true,false
Alvaro,true,false
Alvin,true,false
Alwena,false,true
Aly,true,false
Alya,false,true
Alyah,false,true
Alyana,false,true
Alycia,false,true
Alyson,false,true
Alyssa,false,true
Alyssia,false,true
Alysson,false,true
Alyzee,false,true
Amadou,true,false
Amael,true,false
Amaia,false,true
Amal,false,true
Amalia,false,true
Amalya,false,true
Amanda,false,true
Amandine,false,true
Amani,true,true
Amar,true,false
Amara,true,true
Amaury,true,false
Amaya,false,true
Amber,false,true
Ambre,false,true
Ambrine,false,true
Ambroise,true,false
Amel,false,true
Amelia,false,true
Amelie,false,true
Ameline,false,true
Amelle,false,true
Amelya,false,true
Amicie,false,true
Amin,true,false
Amina,false,true
Aminata,false,true
Amine,true,false
Amir,true,false
Amira,false,true
Amjad,true,false
Amna,false,true
Amy,false,true
Ana,false,true
Anabelle,false,true
Anae,false,true
Anael,true,true
Anaelle,false,true
Anaia,false,true
Anais,false,true
Anakin,true,false
Anas,true,false
Anass,true,false
Anastasia,false,true
Anatole,true,false
Anaya,false,true
Anayah,false,true
Anderson,true,false
Andoni,true,false
Andre,true,false
Andrea,true,true
Andreas,true,false
Andrei,true,false
Andreia,false,true
Andres,true,false
Andrew,true,false
Andria,true,false
Andy,true,false
Anes,true,false
Ange,true,true
Angel,true,true
Angela,false,true
Angele,false,true
Angelina,false,true
Angeline,false,true
Angelique,false,true
Angelo,true,false
Angie,false,true
Ania,false,true
Anir,true,false
Anis,true,false
Aniss,true,false
Anissa,false,true
Anita,false,true
Anjali,false,true
Anna,false,true
Anna-Rose,false,true
Annabelle,false,true
Annaelle,false,true
Annah,false,true
Anne,false,true
Anne-Laure,false,true
Anne-Lise,false,true
Anne-Sophie,false,true
Annie,false,true
Anouar,true,false
Anouchka,false,true
Anouck,false,true
Anouk,false,true
Anselme,true,false
Anthea,false,true
Anthime,true,false
Anthonin,true,false
Anthony,true,false
Antoine,true,false
Anton,true,false
Antone,true,false
Antoni,true,false
Antonia,false,true
Antonin,true,false
Antonio,true,false
Antony,true,false
Antton,true,false
Anwar,true,false
Anya,false,true
Apoline,false,true
Apolline,false,true
Appoline,false,true
April,false,true
Archibald,true,false
Arda,true,false
Ares,true,false
Ari,true,false
Aria,false,true
Ariana,false,true
Ariane,false,true
Ariel,true,true
Arielle,false,true
Arij,false,true
Aris,true,false
Aristide,true,false
Arman,true,false
Armance,false,true
Armand,true,false
Armel,true,false
Armelle,false,true
Arnaud,true,false
Arno,true,false
Aron,true,false
Aronn,true,false
Arsene,true,false
Arthur,true,false
Arthus,true,false
Artur,true,false
Artus,true,false
Arwa,false,true
Arwen,false,true
Arya,false,true
Asael,true,false
Asel,false,true
Ashley,false,true
Aslan,true,false
Asma,false,true
Asmaa,false,true
Asmae,false,true
Assa,false,true
Assia,false,true
Assil,true,true
Assim,true,false
Assiya,false,true
Assya,false,true
Astrid,false,true
Asya,false,true
Athena,false,true
Athenais,false,true
Aubane,false,true
Aubin,true,false
Aude,false,true
Audrey,false,true
Audric,true,false
Auguste,true,false
Augustin,true,false
Augustine,false,true
Aure,false,true
Aurel,true,false
Aurele,true,false
Aurelia,false,true
Aurelie,false,true
Aurelien,true,false
Auriane,false,true
Aurore,false,true
Auxane,false,true
Auxence,true,false
Ava,false,true
Avril,false,true
Awa,false,true
Awen,true,true
Awena,false,true
Axel,true,false
Axelle,false,true
Aya,false,true
Ayaan,true,false
Ayah,false,true
Ayan,true,false
Ayana,false,true
Ayane,true,true
